,ポケモン名,HP,攻撃,防御,特攻,特防,素早,オリジナルのタイプ1,オリジナルのタイプ2,ノーマル,ほのお,みず,でんき,くさ,こおり,かくとう,どく,じめん,ひこう,エスパー,むし,いわ,ゴースト,ドラゴン,あく,はがね,フェアリー,カイリュー,マリルリ,ハッサム,キノガッサ,ガブリアス,ジバコイル,ウルガモス,ミミッキュ,アーマーガア,ドラパルト,マスカーニャ,キョジオーン,キラフロル,ヘイラッシャ,コノヨザル,ドオー,ドドゲザン,イダイナキバ,ハバタクカミ,テツノツツミ,テツノカイナ,テツノドクガ,セグレイブ,サーフゴー,チオンジェン,パオジアン,ディンルー,イーユイ,イルカマン(マイティ),ウォッシュロトム
513,カラナクシ,76,48,48,57,62,34,みず,なし,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-2.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0
514,トリトドン,111,83,68,92,82,39,みず,じめん,0.0,-1.0,-3.0,-3.0,2.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-3.0,-1.0,2.0,0.0,-4.0,-1.0,0.0,-1.0,0.0,2.0,-1.0,-2.0,-3.0,0.0,-1.0,-1.0,0.0,0.0,-3.0,-3.0,-2.0,0.0,-1.0,2.0,0.0,0.0,-1.0,-3.0,-6.0
515,エテボース,75,100,66,60,66,115,ノーマル,なし,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
516,フワンテ,90,50,34,60,44,70,ゴースト,ひこう,-3.0,0.0,0.0,1.0,-1.0,1.0,-3.0,-1.0,-3.0,0.0,0.0,-2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,-4.0,-3.0,1.0,-2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-2.0,-4.0,1.0,-6.0,1.0,1.0,-2.0,-1.0,1.0,1.0,0.0,2.0,-2.0,1.0,0.0,1.0
517,フワライド,150,80,44,90,54,80,ゴースト,ひこう,-3.0,0.0,0.0,1.0,-1.0,1.0,-3.0,-1.0,-3.0,0.0,0.0,-2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-2.0,-4.0,-3.0,1.0,-2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,-2.0,-4.0,1.0,-6.0,1.0,1.0,-2.0,-1.0,1.0,1.0,0.0,2.0,-2.0,1.0,0.0,1.0
518,ミミロル,55,66,44,44,56,85,ノーマル,なし,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
519,ミミロップ,65,76,84,54,96,105,ノーマル,なし,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
520,メガミミロップ,65,136,94,54,96,135,ノーマル,かくとう,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,-3.0,0.0,-1.0,0.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,-1.0,-2.0,1.0,-3.0,-1.0,-1.0,-1.0,0.0,-2.0,0.0,-1.0,1.0,-2.0,0.0,1.0,0.0,0.0,-3.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
521,ムウマージ,60,60,60,105,105,105,ゴースト,なし,-3.0,0.0,0.0,0.0,0.0,0.0,-3.0,-1.0,-3.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,-3.0,-3.0,0.0,-1.0,1.0,0.0,1.0,1.0,0.0,-1.0,0.0,-2.0,-4.0,1.0,-6.0,1.0,0.0,-3.0,-1.0,0.0,1.0,1.0,1.0,-2.0,1.0,0.0,0.0
522,ドンカラス,100,125,52,105,52,71,あく,ひこう,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-3.0,0.0,-3.0,0.0,1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,1.0,0.0,-1.0,-3.0,1.0,0.0,0.0,0.0,-1.0,-2.0,1.0,1.0,0.0,-1.0,-3.0,-1.0,-3.0,0.0,1.0,1.0,0.0,1.0,-1.0,-2.0,0.0,-4.0,-1.0,0.0,1.0
523,ニャルマー,49,55,42,42,37,85,ノーマル,なし,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
524,ブニャット,71,82,64,64,59,112,ノーマル,なし,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
525,リーシャン,45,30,50,65,50,45,エスパー,なし,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,-1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
526,スカンプー,63,63,47,41,41,74,どく,あく,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,-3.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-2.0,-1.0,0.0,-1.0,0.0,0.0
527,スカタンク,103,93,67,71,61,84,どく,あく,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,-3.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-2.0,-1.0,0.0,-1.0,0.0,0.0
528,ドーミラー,57,24,86,24,86,23,はがね,エスパー,-1.0,1.0,0.0,0.0,-1.0,-1.0,0.0,-3.0,1.0,-1.0,-2.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0,0.0,-1.0,1.0,0.0,-2.0,0.0,0.0,-1.0,-4.0,0.0,1.0,-2.0,0.0,1.0,0.0,-1.0,0.0,-2.0,-2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0
529,ドータクン,67,89,116,79,116,33,はがね,エスパー,-1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-3.0,-3.0,-1.0,-2.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,-2.0,-1.0,-1.0,-1.0,-4.0,-1.0,0.0,0.0,-2.0,0.0,0.0,-1.0,-4.0,0.0,1.0,-6.0,0.0,-3.0,0.0,-1.0,0.0,-3.0,-2.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0
530,ウソハチ,50,80,95,10,45,10,いわ,なし,-1.0,-1.0,1.0,0.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,1.0,2.0,1.0,1.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,-2.0,0.0,1.0,1.0,0.0,1.0,-1.0,1.0,1.0
531,マネネ,20,25,45,70,90,60,エスパー,フェアリー,0.0,0.0,0.0,0.0,0.0,0.0,-2.0,1.0,0.0,0.0,-1.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,-3.0,0.0,1.0,-2.0,-3.0,1.0,0.0,1.0,1.0,-2.0,0.0,0.0,1.0,0.0,-1.0,1.0,1.0,-2.0,1.0,0.0,-2.0,1.0,-3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
532,ピンプク,100,5,5,15,65,30,ノーマル,なし,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
533,ペラップ,76,65,45,92,42,91,ノーマル,ひこう,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-3.0,0.0,0.0,-1.0,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-3.0,1.0,-1.0,-3.0,0.0,-3.0,-1.0,1.0,1.0,0.0,-3.0,-3.0,0.0,-3.0,-3.0,1.0,1.0,0.0,1.0,-3.0,-1.0,1.0,-3.0,0.0,0.0,1.0
534,ミカルゲ,50,92,108,92,108,35,ゴースト,あく,-3.0,0.0,0.0,0.0,0.0,0.0,-3.0,-1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-1.0,0.0,-3.0,-1.0,0.0,-3.0,1.0,0.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
535,フカマル,58,70,45,40,45,42,ドラゴン,じめん,0.0,-1.0,0.0,-3.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,-3.0,-1.0,1.0,0.0,1.0,0.0,-1.0,-2.0,0.0,0.0,-1.0,0.0,0.0,1.0,2.0,-3.0,-2.0,3.0,0.0,0.0,2.0,0.0,-1.0,0.0,-3.0
536,ガバイト,68,90,65,50,55,82,ドラゴン,じめん,0.0,-1.0,0.0,-3.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,-3.0,-1.0,1.0,0.0,1.0,0.0,-1.0,-2.0,0.0,0.0,-1.0,0.0,0.0,1.0,2.0,-3.0,-2.0,3.0,0.0,0.0,2.0,0.0,-1.0,0.0,-3.0
537,ガブリアス,108,130,95,80,85,102,ドラゴン,じめん,0.0,-1.0,0.0,-3.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,-3.0,-1.0,1.0,0.0,1.0,0.0,-1.0,-2.0,0.0,0.0,-1.0,0.0,0.0,1.0,2.0,-3.0,-2.0,3.0,0.0,0.0,2.0,0.0,-1.0,0.0,-3.0
538,メガガブリアス,108,170,115,120,95,92,ドラゴン,じめん,0.0,-1.0,0.0,-3.0,0.0,2.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,-3.0,-1.0,1.0,0.0,1.0,0.0,-1.0,-2.0,0.0,0.0,-1.0,0.0,0.0,1.0,2.0,-3.0,-2.0,3.0,0.0,0.0,2.0,0.0,-1.0,0.0,-3.0
539,ゴンベ,135,85,40,40,85,5,ノーマル,なし,0.0,-1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,-1.0,1.0,-1.0,-1.0,-3.0,0.0,-1.0,0.0,-1.0,0.0,0.0
540,リオル,40,70,40,35,40,60,かくとう,なし,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,0.0,-1.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,0.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0
541,ルカリオ,70,110,70,115,70,90,かくとう,はがね,-1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,-3.0,1.0,0.0,0.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-3.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-2.0,-2.0,-5.0,0.0,1.0,-2.0,-2.0,2.0,0.0,-1.0,1.0,-2.0,-2.0,-1.0,-2.0,-2.0,0.0,0.0,0.0,0.0
542,メガルカリオ,70,145,88,140,70,112,かくとう,はがね,-1.0,1.0,0.0,0.0,-1.0,-1.0,1.0,-3.0,1.0,0.0,0.0,-2.0,-2.0,0.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-3.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,-2.0,-2.0,-5.0,0.0,1.0,-2.0,-2.0,2.0,0.0,-1.0,1.0,-2.0,-2.0,-1.0,-2.0,-2.0,0.0,0.0,0.0,0.0
543,ヒポポタス,68,72,78,38,42,32,じめん,なし,0.0,0.0,1.0,-3.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-3.0,0.0,0.0,0.0,0.0,1.0,-1.0,-2.0,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,-3.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-2.0
544,カバルドン,108,112,118,68,72,47,じめん,なし,0.0,0.0,1.0,-3.0,1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-3.0,0.0,0.0,0.0,0.0,1.0,-1.0,-2.0,1.0,0.0,-1.0,0.0,0.0,0.0,2.0,-3.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-2.0
545,スコルピ,40,50,90,30,55,65,どく,むし,0.0,1.0,0.0,0.0,-2.0,0.0,-2.0,-1.0,0.0,1.0,1.0,-1.0,1.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-1.0,-4.0,0.0,0.0,0.0,-1.0,1.0,0.0,-2.0,1.0,0.0,0.0,-2.0,-1.0,0.0,-2.0,-1.0,0.0,-2.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,0.0,0.0
546,ドラピオン,70,90,110,60,75,95,どく,あく,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,1.0,0.0,-3.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,-2.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,0.0,-1.0,-2.0,-1.0,0.0,-1.0,0.0,0.0
547,グレッグル,48,61,40,61,40,50,どく,かくとう,0.0,0.0,-3.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,2.0,-2.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.0,-3.0,-2.0,-2.0,1.0,0.0,-2.0,0.0,1.0,0.0,-2.0,-1.0,-2.0,-3.0,-1.0,0.0,-1.0,0.0,0.0,-3.0,-1.0,-1.0,0.0,0.0,-2.0,-1.0,0.0,-1.0,-3.0,-3.0
548,ドクロッグ,83,106,65,86,65,85,どく,かくとう,0.0,0.0,-3.0,0.0,-1.0,0.0,-1.0,-1.0,1.0,1.0,2.0,-2.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.0,-3.0,-2.0,-2.0,1.0,0.0,-2.0,0.0,1.0,0.0,-2.0,-1.0,-2.0,-3.0,-1.0,0.0,-1.0,0.0,0.0,-3.0,-1.0,-1.0,0.0,0.0,-2.0,-1.0,0.0,-1.0,-3.0,-3.0
549,マスキッパ,74,100,72,90,72,46,くさ,なし,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,2.0,0.0,1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,2.0,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,-2.0
550,ケイコウオ,49,49,56,49,61,66,みず,なし,0.0,-1.0,-3.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-3.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,-1.0,0.0,0.0,-4.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-3.0,-2.0
551,ネオラント,69,69,76,69,86,91,みず,なし,0.0,-1.0,-1.0,1.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,-2.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,-1.0,0.0
552,タマンタ,45,20,50,60,120,50,みず,ひこう,0.0,-1.0,-3.0,2.0,0.0,0.0,-1.0,0.0,-3.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-3.0,-2.0,-1.0,-3.0,1.0,-2.0,0.0,-1.0,0.0,0.0,1.0,1.0,-3.0,-1.0,-3.0,-1.0,-4.0,0.0,-3.0,1.0,-1.0,0.0,-1.0,0.0,0.0,-3.0,-1.0,-3.0,-1.0
553,ユキカブリ,60,62,50,62,60,40,くさ,こおり,0.0,2.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,2.0,0.0,-1.0,0.0,3.0,0.0,2.0,0.0,-1.0,1.0,2.0,-1.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,3.0,0.0,1.0,-1.0,0.0,-1.0,2.0,-1.0,-2.0
554,ユキノオー,90,92,75,92,85,60,くさ,こおり,0.0,2.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,2.0,0.0,-1.0,0.0,3.0,0.0,2.0,0.0,-1.0,1.0,2.0,-1.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,3.0,0.0,1.0,-1.0,0.0,-1.0,2.0,-1.0,-2.0
555,メガユキノオー,90,132,105,132,105,30,くさ,こおり,0.0,2.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,2.0,0.0,-1.0,0.0,3.0,0.0,2.0,0.0,-1.0,1.0,2.0,-1.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,3.0,0.0,1.0,-1.0,0.0,-1.0,2.0,-1.0,-2.0
556,マニューラ,70,120,65,45,85,125,あく,こおり,0.0,1.0,0.0,0.0,0.0,-1.0,2.0,0.0,0.0,0.0,-3.0,1.0,1.0,-1.0,0.0,-1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,-1.0,-1.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,-1.0,2.0,1.0,-1.0,0.0,-1.0,-2.0,-1.0,0.0,0.0,0.0
557,ジバコイル,70,70,115,130,90,60,でんき,はがね,-1.0,1.0,0.0,-1.0,-1.0,-1.0,1.0,-3.0,2.0,-2.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-2.0,-1.0,-3.0,-1.0,-3.0,0.0,1.0,-3.0,0.0,-1.0,-4.0,-1.0,-1.0,-1.0,-4.0,0.0,1.0,-1.0,-2.0,3.0,-1.0,-1.0,0.0,-2.0,-2.0,-2.0,-1.0,-1.0,2.0,1.0,0.0,-1.0
558,ベロベルト,110,85,95,80,95,50,ノーマル,なし,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
559,ドサイドン,115,140,130,55,55,40,じめん,いわ,-1.0,-1.0,2.0,-3.0,2.0,1.0,1.0,-2.0,1.0,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,2.0,1.0,3.0,1.0,-2.0,-1.0,0.0,0.0,0.0,2.0,-1.0,-3.0,2.0,1.0,-1.0,1.0,2.0,0.0,3.0,-2.0,-3.0,1.0,1.0,2.0,1.0,1.0,-1.0,2.0,-1.0
560,モジャンボ,100,100,125,110,50,50,くさ,なし,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,2.0,0.0,1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,2.0,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,-2.0
561,エレキブル,75,123,67,95,85,95,でんき,なし,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,1.0,-4.0,0.0,0.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,0.0,0.0,-3.0,0.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,-3.0
562,ブーバーン,75,95,67,125,95,83,ほのお,なし,0.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,-2.0,-1.0,1.0,-1.0,-2.0,-1.0,-1.0,0.0,-1.0,1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,1.0
563,トゲキッス,85,50,95,120,115,80,フェアリー,ひこう,0.0,0.0,0.0,1.0,-1.0,1.0,-2.0,1.0,-3.0,0.0,0.0,-2.0,1.0,0.0,-3.0,-1.0,1.0,0.0,-3.0,0.0,-1.0,-3.0,-6.0,2.0,-2.0,0.0,1.0,-3.0,-2.0,1.0,2.0,0.0,-2.0,-2.0,0.0,-5.0,0.0,1.0,-1.0,1.0,-2.0,1.0,-2.0,0.0,-4.0,-1.0,0.0,1.0
564,メガヤンマ,86,76,86,116,56,95,むし,ひこう,0.0,1.0,0.0,1.0,-2.0,1.0,-2.0,0.0,-3.0,1.0,0.0,-1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-4.0,-3.0,1.0,0.0,0.0,1.0,0.0,-2.0,2.0,2.0,0.0,-2.0,-3.0,0.0,-5.0,0.0,1.0,-1.0,1.0,1.0,0.0,-2.0,1.0,-3.0,1.0,0.0,1.0
565,リーフィア,65,110,130,60,65,95,くさ,なし,0.0,1.0,-1.0,-1.0,-1.0,1.0,0.0,1.0,-1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,2.0,0.0,1.0,0.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,-1.0,0.0,0.0,-1.0,2.0,1.0,0.0,-1.0,1.0,-1.0,1.0,-1.0,-2.0
566,グレイシア,65,60,110,130,95,65,こおり,なし,0.0,1.0,0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0
567,グライオン,75,95,125,45,75,95,じめん,ひこう,0.0,0.0,1.0,-3.0,0.0,2.0,-1.0,-1.0,-3.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-3.0,-3.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,1.0,-1.0,-4.0,0.0,-4.0,0.0,3.0,-4.0,-1.0,2.0,0.0,0.0,2.0,-3.0,0.0,1.0,-2.0
568,マンムー,110,130,80,70,60,80,こおり,じめん,0.0,1.0,1.0,-3.0,1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,-2.0,1.0,0.0,1.0,0.0,1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,1.0,0.0,1.0,-2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,-2.0
569,ポリゴンZ,85,80,70,135,75,90,ノーマル,なし,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-3.0,0.0,-3.0,0.0,0.0,0.0,0.0,-2.0,0.0,0.0,1.0,-3.0,0.0,1.0,0.0,0.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0
